Invoice #,Date,Customer Code,Customer Name,Subtotal,Calculated,Match?,# Items,Salesperson,Doc Total
818345,05/08/25,710,MCLEAN C,809.83,0,False,0,JA,858.42
818346,05/09/25,1168,DGS CONS,579.0,0,False,0,JA,613.74
818347,05/08/25,17,CLARK CO,15.95,0,False,0,HW,16.91
818348,05/08/25,1641,CONSOLID,3377.0,0,False,0,RO,3579.62
818349,05/08/25,836,HATZEL &,287.97,0,False,0,J2V,305.25
818350,05/08/25,1273C,STRUCTUR,629.5,0,False,0,JA,667.27
818351,05/09/25,1653,VARCO MA,2496.0,0,False,0,JV,2645.76
818352,05/09/25,1604,WINDSOR,614.44,469.95,False,3,CM,640.51
818353,05/09/25,826,JPG PLUM,476.73,272.29,False,3,RPS,498.13
818354,05/08/25,1273SST,PULLMAN,436.0,0,False,0,JA,464.89
818355,05/08/25,1273,STRUCTUR,39.95,0,False,0,JA,42.35
818356,05/08/25,1110,CULBERTS,58.0,58.0,True,1,RO,61.48
818357,05/08/25,1345,CAPITOL,122.8,0,False,0,RO,130.17
818358,05/08/25,55,DYNALECT,325.0,0,False,0,JV,344.5
818359,05/08/25,1653,VARCO MA,8.95,0,False,0,JV,9.49
818360,05/09/25,1272C,STRUCTUR,1160.12,-751.78,False,1,JA,1160.12
818361,05/09/25,55,DYNALECT,555.0,0,False,0,JV,588.3
818362,05/09/25,1099,SNYDER E,130.8,0,False,0,J2V,138.65
818363,05/08/25,1653,VARCO MA,550.0,0,False,0,JV,583.0
818364,05/08/25,1766,W.E. BOW,359.0,0,False,0,CA,380.54
818365,05/08/25,813,VA WATER,552.0,0,False,0,RO,585.12
818366,05/08/25,1525DC,FIDELITY,0.0,0,True,0,WR,0.0
818367,05/08/25,1025,ORNDORFF,270.0,0,False,0,CA,286.2
818368,05/08/25,55,DYNALECT,240.5,0,False,0,JV,254.93
818369,05/08/25,1653,VARCO MA,25.0,0,False,0,JV,26.5
818370,05/09/25,1207,WHITING,199.0,0,False,0,CA,210.94
818371,05/08/25,17,CLARK CO,1038.0,0,False,0,HW,1100.28
818372,05/08/25,515,ROSENDIN,1078.0,0,False,0,JS,1078.0
818373,05/09/25,17,CLARK CO,795.0,0,False,0,HW,837.14
818374,05/09/25,17,CLARK CO,2530.0,0,False,0,HW,2664.09
818375,05/08/25,1110,CULBERTS,54.0,0,False,0,RO,57.24
818376,05/08/25,1408,SESSA SH,112.0,0,False,0,JS,118.72
818377,05/08/25,1110,CULBERTS,406.8,0,False,0,RO,431.21
818378,05/08/25,1766,W.E. BOW,558.0,0,False,0,CA,591.48
818379,05/08/25,554,TAI SPEC,459.0,0,False,0,JS,486.54
818380,05/08/25,1273,STRUCTUR,11.95,0,False,0,JA,12.67
818381,05/09/25,17,CLARK CO,325.0,0,False,0,HW,344.5
818382,05/08/25,817,LAUREL G,103.6,0,False,0,HW,109.82
