Invoice #,Date,Customer Code,Customer Name,Subtotal,Calculated,Match?,# Items,Salesperson,Doc Total
818345,05/08/25,710,MCLEAN C,809.83,809.83,True,2,JA,858.42
818346,05/09/25,1168,DGS CONS,579.0,579.0,True,1,JA,613.74
818347,05/08/25,17,CLARK CO,15.95,15.95,True,1,HW,16.91
818348,05/08/25,1641,CONSOLID,3377.0,3377.0,True,6,RO,3579.62
818349,05/08/25,836,HATZEL &,287.97,287.97,True,1,J2V,305.25
818350,05/08/25,1273C,STRUCTUR,629.5,629.5,True,1,JA,667.27
818351,05/09/25,1653,VARCO MA,2496.0,2496.0,True,2,JV,2645.76
818352,05/09/25,1604,WINDSOR,614.44,614.44,True,5,CM,640.51
818353,05/09/25,826,JPG PLUM,476.73,476.73,True,5,RPS,498.13
818354,05/08/25,1273SST,PULLMAN,436.0,436.0,True,3,JA,464.89
818355,05/08/25,1273,STRUCTUR,39.95,39.95,True,1,JA,42.35
818356,05/08/25,1110,CULBERTS,58.0,58.0,True,2,RO,61.48
818357,05/08/25,1345,CAPITOL,122.8,122.8,True,1,RO,130.17
818358,05/08/25,55,DYNALECT,325.0,325.0,True,3,JV,344.5
818359,05/08/25,1653,VARCO MA,8.95,8.95,True,1,JV,9.49
818360,05/09/25,1272C,STRUCTUR,1160.12,1160.12,True,2,JA,1160.12
818361,05/09/25,55,DYNALECT,555.0,555.0,True,1,JV,588.3
818362,05/09/25,1099,SNYDER E,130.8,130.8,True,4,J2V,138.65
818363,05/08/25,1653,VARCO MA,550.0,550.0,True,3,JV,583.0
818364,05/08/25,1766,W.E. BOW,359.0,359.0,True,1,CA,380.54
818365,05/08/25,813,VA WATER,552.0,552.0,True,3,RO,585.12
818367,05/08/25,1025,ORNDORFF,270.0,0,False,0,CA,286.2
818368,05/08/25,55,DYNALECT,240.5,240.5,True,1,JV,254.93
818369,05/08/25,1653,VARCO MA,25.0,25.0,True,1,JV,26.5
818370,05/09/25,1207,WHITING,199.0,199.0,True,1,CA,210.94
818371,05/08/25,17,CLARK CO,1038.0,1038.0,True,1,HW,1100.28
818372,05/08/25,515,ROSENDIN,1078.0,1078.0,True,1,JS,1078.0
818373,05/09/25,17,CLARK CO,795.0,795.0,True,1,HW,837.14
818374,05/09/25,17,CLARK CO,2530.0,2530.0,True,2,HW,2664.09
818375,05/08/25,1110,CULBERTS,54.0,54.0,True,2,RO,57.24
818376,05/08/25,1408,SESSA SH,112.0,112.0,True,1,JS,118.72
818377,05/08/25,1110,CULBERTS,406.8,406.8,True,1,RO,431.21
818378,05/08/25,1766,W.E. BOW,558.0,558.0,True,2,CA,591.48
818379,05/08/25,554,TAI SPEC,459.0,459.0,True,1,JS,486.54
818380,05/08/25,1273,STRUCTUR,11.95,11.95,True,1,JA,12.67
818381,05/09/25,17,CLARK CO,325.0,325.0,True,1,HW,344.5
818382,05/08/25,817,LAUREL G,103.6,103.6,True,1,HW,109.82
818383,05/09/25,55,DYNALECT,439.4,439.4,True,3,JV,465.76
818384,05/08/25,1604,WINDSOR,112.5,112.5,True,2,JS,119.25
818385,05/08/25,1207,WHITING,5205.08,5205.08,True,7,CA,5517.38
818386,05/08/25,1653,VARCO MA,2067.46,2067.46,True,14,JV,2191.51
818387,05/08/25,1096,CONSTELL,9079.2,9079.2,True,2,CA,9623.95
818388,05/08/25,1408,SESSA SH,100.5,100.5,True,3,JS,106.53
818389,05/08/25,1437,GUARDRAI,750.0,750.0,True,3,JS,795.0
818390,05/08/25,1397,ELECTRIC,24.0,24.0,True,1,JS,25.44
818391,05/08/25,1110,CULBERTS,1428.97,1428.97,True,13,RO,1514.71
818392,05/08/25,844,MECHANIC,1657.03,1657.03,True,23,MS,1756.45
818393,05/08/25,1757,L.R. WIL,148.5,148.5,True,1,JA,157.41
818394,05/08/25,1653,VARCO MA,1131.36,1131.36,True,8,JV,1199.24
818395,05/09/25,55,DYNALECT,165.24,165.24,True,4,JV,175.15
818396,05/09/25,1207,WHITING,71.7,71.7,True,1,CA,76.0
818397,05/08/25,225,JCM ASSO,115.0,115.0,True,1,CA,121.9
818398,05/08/25,1273NJ2,STRUCTUR,565.75,565.75,True,9,JA,565.75
818399,05/09/25,461,HELIX EL,1306.14,1306.14,True,11,JV,1384.51
818400,05/08/25,314,CHESAPEA,1951.3,1951.3,True,3,CA,2068.38
818401,05/08/25,1420,HARKINS,78.0,78.0,True,1,MS,82.68
818402,05/08/25,1397,ELECTRIC,1016.0,1016.0,True,2,JS,1076.96
818403,05/08/25,371,O'CONNOR,1872.5,1872.5,True,3,MS,1984.85
818404,05/08/25,1207,WHITING,594.57,594.57,True,14,CA,630.24
818405,05/08/25,1653,VARCO MA,309.8,309.8,True,2,JV,328.39
818406,05/08/25,1766,W.E. BOW,14.85,14.85,True,1,CA,15.74
818407,05/08/25,1207,WHITING,269.0,269.0,True,1,CA,285.14
818408,05/09/25,1411,WAGNER R,3246.88,3246.88,True,9,CA,3441.69
818409,05/08/25,1764W,POWER SO,240.0,240.0,True,5,CA,254.4
818410,05/08/25,225,JCM ASSO,535.0,535.0,True,1,CA,567.1
818411,05/08/25,836,HATZEL &,259.0,259.0,True,3,J2V,274.54
818412,05/08/25,1207,WHITING,205.84,205.84,True,3,CA,218.19
818413,05/09/25,1766VA,W.E. BOW,161.64,161.64,True,1,CA,171.34
818414,05/09/25,1766VA,W.E. BOW,290.09,290.09,True,4,CA,307.5
818415,05/09/25,1766VA,W.E. BOW,45.12,45.12,True,1,CA,47.83
818416,05/09/25,1766VA,W.E. BOW,35.4,35.4,True,1,CA,37.52
818417,05/08/25,80,VALCOURT,2125.5,2125.5,True,5,JS,2274.29
818418,05/08/25,80,VALCOURT,1798.5,1798.5,True,5,JS,1924.4
818419,05/08/25,1766,W.E. BOW,80.52,80.52,True,2,CA,85.35
818420,05/08/25,1273SST,PULLMAN,1756.0,1756.0,True,2,JA,1872.34
818421,05/08/25,1482,RESTORAT,177.0,177.0,True,1,JS,187.62
818422,05/08/25,1758,G&M SERV,668.01,668.01,True,4,CA,708.09
818423,05/09/25,1653,VARCO MA,162.05,162.05,True,15,JV,171.77
818424,05/08/25,1764W,POWER SO,34.0,34.0,True,1,CA,36.04
818425,05/09/25,1653,VARCO MA,144.5,144.5,True,3,JV,153.17
818426,05/09/25,1653,VARCO MA,43.75,43.75,True,2,JV,46.38
818427,05/09/25,1653,VARCO MA,20.1,20.1,True,3,JV,21.31
818428,05/08/25,710,MCLEAN C,54.0,54.0,True,1,JA,57.24
818429,05/09/25,1764W,POWER SO,27.55,27.55,True,2,CA,27.55
818430,05/08/25,1766,W.E. BOW,2174.23,2174.23,True,30,CA,2304.68
818431,05/08/25,1766,W.E. BOW,1067.88,1067.88,True,5,CA,1131.95
818432,05/08/25,1766,W.E. BOW,112.5,112.5,True,1,CA,119.25
818433,05/08/25,282,PARAMOUN,856.5,856.5,True,6,MS,907.89
818434,05/09/25,1207,WHITING,158.0,158.0,True,1,CA,167.48
818435,05/08/25,1653,VARCO MA,2047.0,2047.0,True,2,JV,2169.82
818436,05/08/25,1766,W.E. BOW,68.7,68.7,True,1,CA,72.82
818437,05/08/25,1766,W.E. BOW,194.5,194.5,True,1,CA,206.17
818438,05/08/25,1766,W.E. BOW,4.59,4.59,True,1,CA,4.87
818439,05/08/25,1766,W.E. BOW,123.9,123.9,True,2,CA,131.33
818440,05/08/25,1766,W.E. BOW,275.25,275.25,True,2,CA,291.77
818441,05/09/25,879,FAY S&B,2065.85,2065.85,True,8,JA,2189.8
818442,05/08/25,1766,W.E. BOW,1202.99,1202.99,True,13,CA,1275.17
818443,05/08/25,1766,W.E. BOW,398.4,398.4,True,2,CA,422.3
818444,05/08/25,1766,W.E. BOW,42.0,42.0,True,1,CA,44.52
818445,05/08/25,1766,W.E. BOW,544.62,544.62,True,7,CA,577.3
818446,05/08/25,1766,W.E. BOW,5.8,5.8,True,1,CA,6.15
818447,05/08/25,1766,W.E. BOW,261.75,261.75,True,2,CA,277.46
818448,05/08/25,1766,W.E. BOW,167.87,167.87,True,4,CA,177.94
818449,05/08/25,1766,W.E. BOW,65.25,65.25,True,3,CA,69.17
